"person","givenName","surname"
"http://dbpedia.org/resource/Nicholas_Kazan","Nicholas","Kazan"
"http://dbpedia.org/resource/Patricia_Gaffney","Patricia","Gaffney"
"http://dbpedia.org/resource/Rob_Walker_(journalist)","Rob","Walker"
"http://dbpedia.org/resource/Darrell_C._Richardson","Darrell C.","Richardson"
"http://dbpedia.org/resource/Karen_Salyer_McElmurray","Karen Salyer","McElmurray"
"http://dbpedia.org/resource/Stuart_Galbraith_IV","Stuart","Galbraith IV"
"http://dbpedia.org/resource/Victoria_Mixon","Victoria","Mixon"
"http://dbpedia.org/resource/Walter_Wykes","Walter","Wykes"
"http://dbpedia.org/resource/Amy_Monticello","Amy","Monticello"
"http://dbpedia.org/resource/James_Franklin_Kay","James Franklin","Kay"
"http://dbpedia.org/resource/T._M._Gray","T.M.","Gray"
"http://dbpedia.org/resource/Nathaniel_Rich_(novelist)","Nathaniel","Rich"
"http://dbpedia.org/resource/Anne_Hendershott","Anne","Hendershott"
"http://dbpedia.org/resource/Beverly_Carradine","Beverly","Carradine"
"http://dbpedia.org/resource/Bill_Knott_(poet)","Bill","Knott"
"http://dbpedia.org/resource/Daniel_Harms","Daniel","Harms"
"http://dbpedia.org/resource/David_Crouse","David","Crouse"
"http://dbpedia.org/resource/Frank_Lebby_Stanton","Frank Lebby","Stanton"
"http://dbpedia.org/resource/George_Dickerson","George","Dickerson"
"http://dbpedia.org/resource/Richard_Sale_(director)","Richard","Sale"
"http://dbpedia.org/resource/Shauna_Cross","Shauna","Cross"
"http://dbpedia.org/resource/Vince_Beiser","Vince","Beiser"
"http://dbpedia.org/resource/H._B._Gilmour","H.B.","Gilmour"
"http://dbpedia.org/resource/William_H._Sumner","William H.","Sumner"
"http://dbpedia.org/resource/Agnes_Sligh_Turnbull","Agnes Sligh","Turnbull"
"http://dbpedia.org/resource/Laurie_McBain","Laurie","McBain"
"http://dbpedia.org/resource/Max_Wallace","Max","Wallace"
"http://dbpedia.org/resource/Allen_Klein_(author)","Allen","Klein"
"http://dbpedia.org/resource/Nila_northSun","Nila","Northsun"
"http://dbpedia.org/resource/Jefferson_Moffitt","Jefferson","Moffitt"
"http://dbpedia.org/resource/Clinton_H._Stagg","Clinton H.","Stagg"
"http://dbpedia.org/resource/Danielle_Trussoni","Danielle","Trussoni"
"http://dbpedia.org/resource/F._F._Bosworth","F. F.","Bosworth"
"http://dbpedia.org/resource/Greye_La_Spina","Greye","La Spina"
"http://dbpedia.org/resource/Essex_Hemphill","Essex","Hemphill"
