prenom,nom,titre_livre,nbpages,isbn,publisher_name
Cormac,McCarthy,All the Pretty Horses (novel),301,"ISBN 0-394-57474-5 (first edition, hardback)",Alfred A. Knopf
Cormac,McCarthy,The Gardener's Son,93,0-88001-481-4,Ecco Press
Wil,McCarthy,The Wellstone,368,0-553-58446-4,Bantam Spectra
Wil,McCarthy,Hacking Matter,240,ISBN 0-465-04428-X,Basic Books
Wil,McCarthy,Bloom (novel),303,0-345-42465-4,Del Rey Books
Wil,McCarthy,To Crush the Moon,400,0-553-58717-X,Bantam Spectra
Wil,McCarthy,The Collapsium,336,ISBN 0-345-40856-X,Del Rey Books
Robert,McCloskey,Blueberries for Sal,55,0-670-17591-9,Viking Press
Frank,McCourt,Angela's Ashes,368,ISBN 0-684-87435-0,Charles Scribner's Sons
Malachy,McCourt,A Monk Swimming,304,0-00-711683-7,HarperCollins
Horace,McCoy,"They Shoot Horses, Don't They? (novel)",121,NA,Simon & Schuster
David Gaub,McCullough,The Greater Journey,576,1-4165-7176-0 (hardcover),Simon & Schuster
David Gaub,McCullough,Mornings on Horseback,370,9780671447540,Simon & Schuster
David Gaub,McCullough,John Adams (book),751,978-1-4165-7588-7 (paperback) 0684813637 (hardcover),Simon & Schuster
David Gaub,McCullough,The Path Between the Seas,698,978-0-671-22563-6,Simon & Schuster
Adam,McCune,The Rats of Hamelin,290,0-8024-6701-6,Moody Publishers
Lurlene,McDaniel,Letting Go of Lisa,181,978-0-385-90196-3,Dell Publishing
Megan,McDonald,The Bridge to Nowhere (novel),154,978-0-531-05478-9,Orchard Books
Joseph,McElroy,Hind's Kidnap,534,978-0-89366-105-2,Harper (publisher)
Robert S.,McElvaine,Grand Theft Jesus,336,978-0-307-39578-8,Crown Publishing Group
Seanan,McGuire,Deadline (Grant novel),519,978-1-84149-899-7,Orbit Books
Seanan,McGuire,Blackout (Grant novel),672,0316081078,Orbit Books
Seanan,McGuire,Feed (Grant novel),599,ISBN 978-0-316-08105-4,Orbit Books
Bill,McKibben,Deep Economy,271,978-0-8050-7626-4,Henry Holt and Company
Patricia A.,McKillip,Od Magic,320,ISBN 0-441-01248-5,Ace Books
Patricia A.,McKillip,Winter Rose (novel),262,ISBN 0-441-00334-6,Ace Books
Patricia A.,McKillip,The Riddle-Master of Hed,227,0-345-28881-5,Del Rey Books
Patricia A.,McKillip,Ombria in Shadow,304,0-441-00895-X,Ace Books
Patricia A.,McKillip,The Forgotten Beasts of Eld,217,ISBN 0-689-30434-X,Atheneum Books
Patricia A.,McKillip,Alphabet of Thorn,314,"ISBN 0-441-01130-6 (first edition, hardback)",Ace Books
Patricia A.,McKillip,Heir of Sea and Fire,204,0-689-30606-7,Atheneum Books
Patricia A.,McKillip,Harpist in the Wind,256,0-689-30687-3,Atheneum Books
Patricia A.,McKillip,In the Forests of Serre,304,0-441-01011-3,Ace Books
Patricia A.,McKillip,The Bell at Sealey Head,288,ISBN 0-441-01630-8,Ace Books
Patricia A.,McKillip,The Tower at Stony Wood,304,0-441-00733-3,Ace Books
Patricia A.,McKillip,The Book of Atrix Wolfe,252,ISBN 0-441-00211-0,Ace Books
Patricia A.,McKillip,Song for the Basilisk,314,0-441-00447-4,Ace Books
Patricia A.,McKillip,Solstice Wood,288,ISBN 0-441-01366-X,Ace Books
